"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"DT.INR.PRVT","新外债承诺的平均利息，私人（百分比）","利息表示本年度所有新签约公共和公共担保贷款的平均利率。为了获取平均值，所有公共和公共担保贷款的利率已根据贷款额进行加权。私人债权人债务包括公开发行或私募的债券；私人银行和其他私人金融机构的商业银行贷款；以及制造商、出口商和其他货物供应商的其他私人信贷，以及由出口信贷机构担保的银行信贷。","世界银行《全球发展金融》。",
"DT.INT.BLAT.CD","PPG，双边（INT，现价美元）","双边债务包括来自政府和其他机构（包括中央银行）的贷款、来自自治团体的贷款以及来自官方出口信贷机构的直接贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.BLTC.CD","PPG，双边优惠（INT，现价美元）","双边债务包括来自政府和其他机构（包括中央银行）的贷款、来自自治团体的贷款以及来自官方出口信贷机构的直接贷款。优惠债务定义为初始赠与成分达 25%或25%以上的贷款。贷款赠与成分是等额赠与在承诺金额中所占的百分比。用于衡量总借款成本。贷款等额赠与为承诺（现值）额减去合同债务换本付息的折现值；按照惯例，未来债务还本付息额折现为 10%。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DECT.CD","外债利息支付总额（INT，现价美元）","利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。此项目包括长期债务利息、国际货币基金组织收费以及短期债务利息。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。短期外债指原定偿还期在一年（含）以下的债务。受现有数据所限，尚无法区分公共务和私人无担保短期债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DECT.EX.ZS","外债利息支付（在商品与服务的出口和初次收入中所占%）","利息支付总额与出口货物和服务的比值。","世界银行《全球发展金融》。",
"DT.INT.DECT.GN.ZS","外债利息支付（占 GNI 的百分比）","利息支付总额与国民总收入之比。","世界银行《全球发展金融》。",
"DT.INT.DIMF.CD","国际货币基金组织（IMF）收费（INT，现价美元）","国际货币基金组织（IMF）收费包括所有使用 IMF资源的利息支付，不包括提取储备批次产生的利息支付。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DLXF.CD","长期外债利息支付（INT，现价美元）","长期债务的利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DPNG.CD","私人无担保 (PNG) 外债的利息支付（INT，现价美元）","私人无担保外债指没有一个公共实体提供偿还担保的私人债务人的外债偿付义务。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。长期外债的定义是其原定或延展偿还期为一年以上的、欠非居民的并可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DPPG.CD","公共和公共担保 (PPG) 外债的利息支付（INT，现价美元）","公共和公共担保长期债务已计入总额。政府债务是国家政府、行政区域（或两者之一的一个机构）以及自治政府机构等政府债务人的一种外部义务。政府担保债务是由公共实体担保还款的私人债务人的一种外部义务。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.DSTC.CD","短期外债利息支付（INT，现价美元）","短期债务的利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。此项目包括长期债务利息、国际货币基金组织收费以及短期债务利息。短期外债指原定偿还期在一年（含）以下的债务。受现有数据所限，尚无法区分公共务和私人无担保短期债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.MIBR.CD","PPG，IBRD（INT，现价美元）","来自国际复兴开发银行（IBRD）的公共和公共担保的债务余额是非优惠的。非优惠债务不包括最初具有25%或更多的赠款成分的贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.MIDA.CD","PPG，IDA（INT，现价美元）","来自国际开发协会（IDA）的公共和公共担保的债务余额是优惠的。优惠债务定义为初始赠与成分达 25%或25%以上的贷款。贷款赠与成分是等额赠与在承诺金额中所占的百分比。用于衡量总借款成本。贷款等额赠与为承诺（现值）额减去合同债务换本付息的折现值；按照惯例，未来债务还本付息额折现为 10%。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.MLAT.CD","PPG，多边（INT，现价美元）","公共和公共担保的多边贷款包括世界银行、地区发展银行以及其他多边和政府间机构提供的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.MLTC.CD","PPG，多边优惠（INT，现价美元）","公共和公共担保的多边贷款包括世界银行、地区发展银行以及其他多边和政府间机构提供的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。优惠债务定义为初始赠与成分达 25%或25%以上的贷款。贷款赠与成分是等额赠与在承诺金额中所占的百分比。用于衡量总借款成本。贷款等额赠与为承诺（现值）额减去合同债务换本付息的折现值；按照惯例，未来债务还本付息额折现为 10%。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.OFFT.CD","PPG，官方债权人（INT，现价美元）","来自官方债权人的公共和公共担的债务包括国际组织的贷款（多边贷款）和政府贷款（双边贷款）。国际组织贷款包括来自世界银行、区域性开发银行及其他多边和政府间机构的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。政府贷款包括来自政府及其机构（包括中央银行）的贷款、来自自治性机构的贷款以及来自官方出口信贷机构的直接贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PBND.CD","PPG，债券（INT，现价美元）","来自公募或私募债券的公共和公共担保债务。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PCBK.CD","PPG，商业银行（INT，现价美元）","来自私人银行和其他私人金融机构的公共和公共担保的商业银行贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PNGB.CD","PNG，债券（INT，现价美元）","私募的无但保债券的长期债券利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PNGC.CD","PNG，商业银行和其他债权人（INT，现价美元）","私人银行和其他私营金融机构提供的无担保长期商业银行贷款。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PROP.CD","PPG，其他私人债权人（INT，现价美元）","来自制造商、出口商和其他货物供应商的公共和公共担保的其他私人信贷，以及出口信贷机构担保的银行信贷。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.INT.PRVT.CD","PPG，私人债权人（INT，现价美元）","来自私人债权人的公共和公共担保债务包括公开发行或私募的债券、来自私人银行和其他私人金融机构的商业银行贷款、来自制造商、出口商和其他货物供应商的私人信贷，以及出口信贷机构担保的银行信贷。利息支付是指借款人在指定年份以外币、货物或服务等形式支付的实际利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXA.DPPG.CD","利息拖欠的长期债务欠款 (按当值美元计）","长期债务的拖欠利息定义为到期应付但未支付的累计利息额。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXA.DPPG.CD.CG","利息拖欠的净变化（现价美元）","利息拖欠的净变化是利息拖欠总额在两个连续的年度之间的变动。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXA.OFFT.CD","拖欠利息，官方债权人（现价美元）","长期债务的拖欠利息定义为到期应付但未支付的累计利息额。官方债权人债务包括国际组织贷款（多边贷款）和政府贷款（双边贷款）。国际组织贷款包括来自世界银行、区域性开发银行及其他多边和政府间机构的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。政府贷款包括来自政府及其机构（包括中央银行）的贷款、来自自治性机构的贷款以及来自官方出口信贷机构的直接贷款。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXA.PRVT.CD","拖欠利息，私人债权人（现价美元）","长期债务的拖欠利息定义为到期应付但未支付的累计利息额。私人债权人债务包括公开发行或私募的债券；私人银行和其他私人金融机构的商业银行贷款；以及制造商、出口商和其他货物供应商的其他私人信贷，以及由出口信贷机构担保的银行信贷。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXF.DPPG.CD","减免利息（现价美元）","减免利息是指在任一给定年份注销或减免的到期应付利息额或拖欠利息额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXR.DPPG.CD","利息重组（资本化）（现价美元）","重组利息是指在任一特定年份进行到期或拖欠的利息额。（利息资本化是指由于贷款重组使利息转化为债务存量的一部分。）数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXR.OFFT.CD","官方贷款利息重组（现价美元）","重组利息是指在任一特定年份进行到期或拖欠的利息额。官方债权人债务包括国际组织贷款（多边贷款）和政府贷款（双边贷款）。国际组织贷款包括来自世界银行、地区开发银行及其他多边和政府间机构的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。政府贷款包括来自政府及其机构（包括中央银行）的贷款、来自自治性机构的贷款以及来自官方出口信贷机构的直接贷款。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.IXR.PRVT.CD","私营部门贷款利息重组（现价美元）","重组利息是指在任一特定年份进行到期或拖欠的利息额。私人债权人债务包括公开发行或私募的债券；私人银行和其他私人金融机构的商业银行贷款；以及制造商、出口商和其他货物供应商的其他私人信贷，以及由出口信贷机构担保的银行信贷。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.MAT.DPPG","新外债承诺的平均偿还期（年）","偿还期是距离原定偿还日期的年数，是宽限期和还款期的总和。本金宽限期是自贷款签字之日或金融工具发行日至首笔本金偿还日之间的一段时间。还款期自第一次本金偿还时起至最后一次本金偿还时止的一段时间。为了获取平均值，所有公共和公共担保贷款的偿还期已根据贷款额进行加权。政府债务是国家政府、行政区域（或两者之一的一个机构）以及自治政府机构等政府债务人的一种外部义务。政府担保债务是由公共实体担保还款的私人债务人的一种外部义务。","世界银行《全球发展金融》。",
"DT.MAT.OFFT","新外债承诺的平均偿还期，官方（年）","偿还期是距离原定偿还日期的年数，是宽限期和还款期的总和。本金宽限期是自贷款签字之日或金融工具发行日至首笔本金偿还日之间的一段时间。还款期自第一次本金偿还时起至最后一次本金偿还时止的一段时间。为了获取平均值，所有公共和公共担保贷款的偿还期已根据贷款额进行加权。官方债权人债务包括国际组织贷款（多边贷款）和政府贷款（双边贷款）。国际组织贷款包括来自世界银行、区域性开发银行及其他多边和政府间机构的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。政府贷款包括来自政府及其机构（包括中央银行）的贷款、来自自治性机构的贷款以及来自官方出口信贷机构的直接贷款。","世界银行《全球发展金融》。",
"DT.MAT.PRVT","新外债承诺的平均偿还期，私人（年）","偿还期是距离原定偿还日期的年数，是宽限期和还款期的总和。本金宽限期是自贷款签字之日或金融工具发行日至首笔本金偿还日之间的一段时间。还款期自第一次本金偿还时起至最后一次本金偿还时止的一段时间。为了获取平均值，所有公共和公共担保贷款的偿还期已根据贷款额进行加权。私人债权人债务包括公开发行或私募的债券；私人银行和其他私人金融机构的商业银行贷款；以及制造商、出口商和其他货物供应商的其他私人信贷，以及由出口信贷机构担保的银行信贷。","世界银行《全球发展金融》。",
"DT.NFL.BLAT.CD","净金融流动，双边（NFL，现价美元）","双边债务包括来自政府和其他机构（包括中央银行）的贷款、来自自治团体的贷款以及来自官方出口信贷机构的直接贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.BLTC.CD","PPG，双边优惠（NFL，现价美元）","双边债务包括来自政府和其他机构（包括中央银行）的贷款、来自自治团体的贷款以及来自官方出口信贷机构的直接贷款。优惠债务定义为初始赠与成分达 25%或25%以上的贷款。贷款赠与成分是等额赠与在承诺金额中所占的百分比。用于衡量总借款成本。贷款等额赠与为承诺（现值）额减去合同债务换本付息的折现值；按照惯例，未来债务还本付息额折现为 10%。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.BOND.CD","债券投资，债券（PPF+PNG）（NFL，现价美元）","债券是以固定利息发行的超过一年期的证券。包括通过跨境公共和公共机构担保的和私人无担保债券发行的净流量。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.DECT.CD","净外债流动，总额（NFL，现价美元）","直到1984年，净外债流动是长期外债支付和IMF购置减去长期外债本金偿还和IMF回购。从1985年开始，这个项目包括短期债务存量的变化（其中包括长期债务的欠息）。因此，如果存量变化为正值，就可以假定发生了支付；如果为负值，就可以假定发生了偿还。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.DLXF.CD","净外债流动，长期（NFL，现价美元）","借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.DPNG.CD","净外债流动，私人非优惠（PNG）（NFL，现价美元）","私人无担保外债指没有一个公共实体提供偿还担保的私人债务人的外债偿付义务。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.DPPG.CD","净外债流动，公共和公共担保的（PPG）（NFL，现价美元）","公共和公共担保长期债务已计入总额。政府债务是国家政府、行政区域（或两者之一的一个机构）以及自治政府机构等政府债务人的一种外部义务。政府担保债务是由公共实体担保还款的私人债务人的一种外部义务。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。长期外债的定义为某一经济体的居民欠非居民的、其原定或延展偿还期超过一年的可以外币、货物或服务形式偿还的债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.DSTC.CD","净外债流动，短期（NFL，现价美元）","借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。短期外债指原定偿还期在一年（含）以下的债务。受现有数据所限，尚无法区分公共务和私人无担保短期债务。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.IAEA.CD","来自联合国机构的净官方流动，IAEA（现价美元）","来自联合国机构的净官方流量是来自联合国机构官方流量总额的净支付额。官方流动总额是官方发展援助（ODA）或官方援助和其他官方流动（OOF）的总和，代表整个官方部门向受援国提供的支付总额。净支付是赠款和贷款的支付总额减去偿还以往贷款的本金。官方发展援助（ODA）包括以优惠条件提供的贷款（至少具有20%的捐赠成分，以10%的贴现率计算）和旨在促进列入DAC的ODA受援名单中的国家和领地的经济发展和福祉的赠款。官方援助指的是官方捐助者为列入DAC的受援国名单中第二部分的国家和领地提供的援助流量，即较先进的中东欧国家、前苏联国家、以及某些的先进的发展中国家和领地。官方援助的提供条款和条件与ODA类似。DAC名单的第二部分于2005年废除。有关第二部分国家的官方援助和其他资源流量的数据采集止于2004年的数据。OOF是由来自不是以发展为主要目标的官方部门的交易，也就是说，如果它们是具有发展动机的话，其捐赠成分低于可使其符合ODA的25%的下限的水平。这里所包括的主要流动是官方出口信贷、官方部门股权和证券投资、以及由官方部门进行的非优惠的债务重组（不考虑最初债权人的性质或身份）。联合国机构包括联合国儿童基金会（UNICEF）、联合国近东巴勒斯坦难民救济工程处（UNRWA）、世界粮食计划署（WFP）、国际农业发展基金（IFAD）、联合国开发署（UNDP）、联合人口基金（UNPF）、联合国难民署（UNHCR）、联合国艾滋病规划署（UNAIDS）、以及联合国技术合作经常方案署（UNTA）。数据按现价美元计。","经济发展与合作组织的发展援助委员会，《发展中国家的金融流动的地理分布》、《发展合作报告》、以及《国际发展统计》数据库。数据可以在线获取：www.oecd.org/dac/stats/idsonline",
"DT.NFL.IFAD.CD","来自联合国机构的净官方流量，IFAD（现价美元）","来自联合国机构的净官方流量是来自联合国机构官方流量总额的净支付额。官方流动总额是官方发展援助（ODA）或官方援助和其他官方流动（OOF）的总和，代表整个官方部门向受援国提供的支付总额。净支付是赠款和贷款的支付总额减去偿还以往贷款的本金。官方发展援助（ODA）包括以优惠条件提供的贷款（至少具有20%的捐赠成分，以10%的贴现率计算）和旨在促进列入DAC的ODA受援名单中的国家和领地的经济发展和福祉的赠款。官方援助指的是官方捐助者为列入DAC的受援国名单中第二部分的国家和领地提供的援助流量，即较先进的中东欧国家、前苏联国家、以及某些的先进的发展中国家和领地。官方援助的提供条款和条件与ODA类似。DAC名单的第二部分于2005年废除。有关第二部分国家的官方援助和其他资源流量的数据采集止于2004年的数据。OOF是由来自不是以发展为主要目标的官方部门的交易，也就是说，如果它们是具有发展动机的话，其捐赠成分低于可使其符合ODA的25%的下限的水平。交易的主要类别包括官方出口信贷，官方机构的股权投资和证券投资，以及由官方部门的在非优惠条款（不论性质或原债权人的身份）进行债务重组。联合国机构是包括联合国儿童基金会 （UNICEF）、联合国近东巴勒斯坦难民救济及工程局（UNRWA）、联合国世界粮食计划署（WFP）、国际农业发展基金（IFAD）、联合国开发计划 署（UNDP）、联合国人口基金（UNPF）、联合国难民署（UNHCR）、联合国艾滋病规划署（UNAIDS）、联合国技术援助常规项目（UNTA）等 在内的联合国。数据按现价美元计。","经济发展与合作组织的发展援助委员会，《发展中国家的金融流动的地理分布》、《发展合作报告》、以及《国际发展统计》数据库。数据可以在线获取：www.oecd.org/dac/stats/idsonline",
"DT.NFL.IMFC.CD","净金融流动，IMF优惠贷款（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。IMF是国际货币基金组织，它通过向其成员国提供的信贷提供非优惠贷款，主要是为了满足国际收支的需要。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.IMFN.CD","净金融流动，IMF非优惠贷款（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。IMF是国际货币基金组织，它通过向其成员国提供的信贷提供非优惠贷款，主要是为了满足国际收支的需要。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.MIBR.CD","净金融流动，IBRD，（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。IBRD是国际复兴开发银行，即世界银行集团的创始机构和最大的成员。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.MIDA.CD","净金融流动，IDA（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。IDA是国际开发协会，即世界银行集团的优惠贷款窗口。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.MLAT.CD","净金融流动，多边（NFL，现价美元）","公共和公共担保的多边贷款包括世界银行、地区发展银行以及其他多边和政府间机构提供的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.MLTC.CD","PPG，多边优惠（NFL，现价美元）","公共和公共担保的多边贷款包括世界银行、地区发展银行以及其他多边和政府间机构提供的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。优惠债务定义为初始赠与成分达 25%或25%以上的贷款。贷款赠与成分是等额赠与在承诺金额中所占的百分比。用于衡量总借款成本。贷款等额赠与为承诺（现值）额减去合同债务换本付息的折现值；按照惯例，未来债务还本付息额折现为 10%。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.MOTH.CD","净金融流动，其他（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。其他贷款是世界银行的债务人报告系统内的一项残余类别。包括加勒比发展基金、欧洲理事会、欧洲发展基金、伊斯兰发展银行、北欧发展基金等机构。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.NEBR.CD","EBRD，私人无担保贷款（NFL，现价美元）","欧洲复兴开发银行 (EBRD)向私营企业提供的无担保长期贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.NIFC.CD","国际金融公司（IFC），私人无担保贷款（NFL，现价美元）","国际金融公司（IFC）向私营企业提供的无担保长期贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.OFFT.CD","PPG，官方债权人（NFL，现价美元）","来自官方债权人的公共和公共担的债务包括国际组织的贷款（多边贷款）和政府贷款（双边贷款）。国际组织贷款包括来自世界银行、区域性开发银行及其他多边和政府间机构的贷款和信贷。由国际组织代表单一捐助国政府所管理得基金提供的贷款除外；此类贷款属于政府贷款。政府贷款包括来自政府及其机构（包括中央银行）的贷款、来自自治性机构的贷款以及来自官方出口信贷机构的直接贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PBND.CD","PPG，债券（NFL，现价美元）","来自公募或私募债券的公共和公共担保债务。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PCBK.CD","PPG，商业银行（NFL，现价美元）","来自私人银行和其他私人金融机构的公共和公共担保的商业银行贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PCBO.CD","商业银行和其他贷款（公共和公共担保贷款(PPG) + 私人无担保贷款(PNG)）（NFL，现价美元）","商业银行和其他贷款包括商业银行净贷款（政府贷款、政府担保贷款和私人无担保贷款）以及其他私人信贷。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PNGB.CD","PNG，债券（NFL，现价美元）","私募的无但保债券的长期债券借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PNGC.CD","PNG，商业银行和其他债权人（NFL，现价美元）","私人银行和其他私营金融机构提供的无担保长期商业银行贷款。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PROP.CD","PPG，其他私人债权人（NFL，现价美元）","来自制造商、出口商和其他货物供应商的公共和公共担保的其他私人信贷，以及出口信贷机构担保的银行信贷。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.PRVT.CD","PPG，私人债权人（NFL，现价美元）","来自私人债权人的公共和公共担保债务包括公开发行或私募的债券、来自私人银行和其他私人金融机构的商业银行贷款、来自制造商、出口商和其他货物供应商的私人信贷，以及出口信贷机构担保的银行信贷。借款人在一年内收到的净资金流（或称净借贷或净支付）是支付额减去与本金偿还额之差。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.RDBC.CD","净金融流动，RDB优惠（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。优惠金融流动包括通过优惠贷款机制进行的支付。地区开发银行有非洲开发银行，位于图尼西亚的突尼斯市，服务于整个非洲，也包括北非；亚洲开发银行，位于菲律宾的马尼拉市，服务于南亚和中亚以及东亚和太平洋地区；欧洲复兴开发银行，位于英国的伦敦市，服务于欧洲和中亚地区；以及美洲开发银行，位于华盛顿特区，服务于美洲。总额包括未在其他地方特别说明的经济体的数额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.RDBN.CD","净金融流动，RDB非优惠（NFL，现价美元）","借款人年内获得的净金融流动是贷款和信贷的支付减去本金的偿还。非优惠的金融流动包括除了通过优惠贷款机制提供的支付之外的所有支付。地区开发银行有非洲开发银行，位于图尼西亚的突尼斯市，服务于整个非洲，也包括北非；亚洲开发银行，位于菲律宾的马尼拉市，服务于南亚和中亚以及东亚和太平洋地区；欧洲复兴开发银行，位于英国的伦敦市，服务于欧洲和中亚地区；以及美洲开发银行，位于华盛顿特区，服务于美洲。总额包括未在其他地方特别说明的经济体的数额。数据按现价美元计。","世界银行《全球发展金融》。",
"DT.NFL.UNAI.CD","来自联合国机构的净官方流动，UNAIDS（现价美元）","来自联合国机构的净官方流量是来自联合国机构官方流量总额的净支付额。官方流动总额是官方发展援助（ODA）或官方援助和其他官方流动（OOF）的总和，代表整个官方部门向受援国提供的支付总额。净支付是赠款和贷款的支付总额减去偿还以往贷款的本金。官方发展援助（ODA）包括以优惠条件提供的贷款（至少具有20%的捐赠成分，以10%的贴现率计算）和旨在促进列入DAC的ODA受援名单中的国家和领地的经济发展和福祉的赠款。官方援助指的是官方捐助者为列入DAC的受援国名单中第二部分的国家和领地提供的援助流量，即较先进的中东欧国家、前苏联国家、以及某些的先进的发展中国家和领地。官方援助的提供条款和条件与ODA类似。DAC名单的第二部分于2005年废除。有关第二部分国家的官方援助和其他资源流量的数据采集止于2004年的数据。OOF是由来自不是以发展为主要目标的官方部门的交易，也就是说，如果它们是具有发展动机的话，其捐赠成分低于可使其符合ODA的25%的下限的水平。交易的主要类别包括官方出口信贷，官方机构的股权投资和证券投资，以及由官方部门的在非优惠条款（不论性质或原债权人的身份）进行债务重组。联合国机构是包括联合国儿童基金会 （UNICEF）、联合国近东巴勒斯坦难民救济及工程局（UNRWA）、联合国世界粮食计划署（WFP）、国际农业发展基金（IFAD）、联合国开发计划 署（UNDP）、联合国人口基金（UNPF）、联合国难民署（UNHCR）、联合国艾滋病规划署（UNAIDS）、联合国技术援助常规项目（UNTA）等 在内的联合国。数据按现价美元计。","经济发展与合作组织的发展援助委员会，《发展中国家的金融流动的地理分布》、《发展合作报告》、以及《国际发展统计》数据库。数据可以在线获取：www.oecd.org/dac/stats/idsonline",
